epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,1292.34,0.3197,0.28852,0.84418,0.99864,1,0.995,0.96917,0.29412,0.21383,0.83291,0.000518328,0.000518328,0.000518328
174,1299.71,0.3125,0.28199,0.87171,0.99872,1,0.995,0.96231,0.28534,0.21635,0.83377,0.000513886,0.000513886,0.000513886
175,1307.8,0.32275,0.28219,0.85821,0.99849,1,0.995,0.96841,0.27784,0.20947,0.83362,0.000509443,0.000509443,0.000509443
176,1315.21,0.30251,0.26076,0.85299,0.99785,1,0.995,0.97587,0.27252,0.21684,0.83364,0.000505,0.000505,0.000505
177,1322.51,0.31583,0.2973,0.85507,0.99666,1,0.995,0.97727,0.27161,0.22509,0.83006,0.000500557,0.000500557,0.000500557
178,1328.81,0.28659,0.27863,0.85931,0.99796,1,0.995,0.97431,0.27393,0.21649,0.82827,0.000496114,0.000496114,0.000496114
179,1337.25,0.32241,0.28609,0.86303,0.99857,1,0.995,0.96651,0.27297,0.21512,0.82767,0.000491672,0.000491672,0.000491672
180,1344.52,0.30697,0.27045,0.86603,0.99869,1,0.995,0.97373,0.27336,0.20087,0.82537,0.000487231,0.000487231,0.000487231
181,1352.35,0.2877,0.26164,0.85631,0.99878,1,0.995,0.96853,0.26473,0.20362,0.82351,0.000482792,0.000482792,0.000482792
182,1358.69,0.27748,0.25144,0.84392,0.9988,1,0.995,0.97599,0.26416,0.19173,0.82761,0.000478354,0.000478354,0.000478354
183,1367.75,0.2998,0.28777,0.84925,0.9988,1,0.995,0.97502,0.27589,0.205,0.83171,0.000473919,0.000473919,0.000473919
184,1374.13,0.2991,0.26775,0.87322,0.99885,1,0.995,0.97599,0.2846,0.21788,0.83316,0.000469486,0.000469486,0.000469486
185,1383.06,0.29814,0.26008,0.83669,0.99884,1,0.995,0.97871,0.27748,0.21364,0.83184,0.000465055,0.000465055,0.000465055
186,1389.57,0.28657,0.2664,0.84732,0.99887,1,0.995,0.97809,0.26551,0.21021,0.82926,0.000460629,0.000460629,0.000460629
